date,A_buyhold,B_overlay,C_pp_only
2026-03-30,1.1764526822577859,1.1817102970613789,1.3031998717384496
2026-03-31,1.1996589326307094,1.1998668162073278,1.3055658311055907
2026-04-01,1.209314272848131,1.2080091239490707,1.3079360858719629
2026-04-02,1.2148658734640831,1.2133840439459493,1.3103106438358634
2026-04-03,1.2082981215015547,1.2098661568589684,1.3126895128097473
2026-04-06,1.2199882962840836,1.2182223547069406,1.3150727006202534
2026-04-07,1.2065410153783147,1.211845302126259,1.3174602151082295
2026-04-08,1.252542037294744,1.2422041429026576,1.3198520641287586
2026-04-09,1.2650054992101354,1.2514756898796842,1.3222482555511843
2026-04-10,1.2933632315802506,1.2719277492240975,1.3246487972591374
2026-04-13,1.2953869767642212,1.2724964585213434,1.3270536971505613
2026-04-14,1.3160307914505227,1.2872366157054713,1.3294629631377382
2026-04-15,1.3250941583110383,1.2920047263273275,1.3318766031473146
2026-04-16,1.3249528071675112,1.290485423196919,1.3342946251203285
2026-04-17,1.3638491026293376,1.3111626913533778,1.3367170370122343
2026-04-20,1.3595409811639503,1.3076554429425362,1.33914384679293
2026-04-21,1.3457266428950112,1.3005188442102633,1.3415750624467826
2026-04-22,1.3551865088088986,1.3034590506962074,1.3440106919726547
2026-04-23,1.3491337216991581,1.3013183855781727,1.346450743383931
2026-04-24,1.3555954800574033,1.3087919600661577,1.3488952247085444
2026-04-27,1.3724778010282213,1.32257213126525,1.3513441439890028
2026-04-28,1.3507467295018822,1.3095410190402093,1.3537975092824148
2026-04-29,1.3427655876115563,1.3064592762263438,1.356255328660517
2026-04-30,1.3505588679165261,1.308044263545551,1.3587176102097
2026-05-01,1.3577885665502514,1.3098320034276367,1.3611843620310358
2026-05-04,1.3599516724351357,1.309425639053712,1.363655592240303
2026-05-05,1.3687014331566483,1.3143314936984969,1.3661313089680154
2026-05-06,1.4078383233293772,1.3435235890057815,1.3686115203594467
2026-05-07,1.4168174364361417,1.353195592962275,1.3710962345746591
2026-05-08,1.4265308005404138,1.358944745805419,1.3735854597885293
2026-05-11,1.4425116573021517,1.369479140070548,1.3760792041907752
2026-05-12,1.4165825280996107,1.3579950440104929,1.3785774759859835
2026-05-13,1.4065178964025595,1.3557826313449675,1.381080283393636
2026-05-14,1.4186186743990157,1.3627760103426776,1.383587634648137
2026-05-15,1.3854800423949754,1.3419302243906233,1.3860995379988408
2026-05-18,1.357724909708751,1.3281374314133327,1.3886160017100777
2026-05-19,1.3540556736916218,1.3261122319761671,1.3911370340611824
2026-05-20,1.3586615732021987,1.3306000359214398,1.3936626433465205
2026-05-21,1.3016080844382711,1.2947161699634337,1.396192837875516
